area,lat,lon,district,name,population,state
180.08,52.233,12.967,Potsdam-Mittelmark,Beelitz,12818,Brandenburg
77.15,52.167,14.250,Oder-Spree,Beeskow,8070,Brandenburg
100.13,49.033,11.467,Eichstätt,Beilngries,9908,Bavaria
25.25,49.033,9.317,Heilbronn,Beilstein,6224,Baden-Württemberg
158.3,51.467,13.033,Nordsachsen,Belgern-Schildau,7647,Saxony
24.07,50.42972,7.57028,Mayen-Koblenz,Bendorf,16893,Rhineland-Palatinate
57.83,49.66667,8.61667,Bergstraße,Bensheim,40791,Hesse
131.18,49.100,11.433,Neumarkt in der Oberpfalz,Berching,8864,Bavaria
43.49,50.750,12.167,Greiz,Berga,3224,Thuringia
51.42,54.417,13.433,Vorpommern-Rügen,Bergen auf Rügen,13572,Mecklenburg-Western Pomerania
163.77,52.81028,9.96111,Celle,Bergen,13382,Lower Saxony
96.33,50.967,6.650,Rhein-Erft-Kreis,Bergheim,61749,North Rhine-Westphalia
83.12,51.100,7.117,Rheinisch-Bergischer Kreis,Bergisch Gladbach,111636,North Rhine-Westphalia
44.8,51.617,7.633,Unna,Bergkamen,48919,North Rhine-Westphalia
37.86,51.033,7.650,Oberbergischer Kreis,Bergneustadt,18502,North Rhine-Westphalia
891.7,52.52000,13.40500,,Berlin,3664088,Berlin
103.73,52.66667,13.58306,Barnim,Bernau bei Berlin,40908,Brandenburg
113.45,51.800,11.733,Salzlandkreis,Bernburg,32257,Saxony-Anhalt
23.66,49.91611,7.06944,Bernkastel-Wittlich,Bernkastel-Kues,7092,Rhineland-Palatinate
59.65,51.367,14.067,Bautzen,Bernsdorf,6344,Saxony
51.89,51.04583,14.82639,Görlitz,Bernstadt auf dem Eigen,3298,Saxony
42.54,52.533,7.917,Osnabrück,Bersenbrück,8722,Lower Saxony
,48.9983,9.1417,Ludwigsburg,Besigheim,12643,Baden-Württemberg
9.57,50.78556,7.87278,Altenkirchen (Westerwald),Betzdorf,10076,Rhineland-Palatinate
51.84,49.68028,11.41778,Bayreuth,Betzenstein,2482,Bavaria
97.84,51.66278,9.37250,Höxter,Beverungen,13064,North Rhine-Westphalia
31.08,49.34944,7.25944,Saarpfalz,Bexbach,17565,Saarland
72.16,48.100,9.783,Biberach,Biberach an der Riss,33510,Baden-Württemberg
90.33,50.91278,8.53222,Marburg-Biedenkopf,Biedenkopf,13491,Hesse
257.8,52.02111,8.53472,Urban district,Bielefeld,333509,North Rhine-Westphalia
60.48,52.76667,13.63306,Barnim,Biesenthal,6029,Brandenburg
31.29,48.967,9.133,Ludwigsburg,Bietigheim-Bissingen,43146,Baden-Württemberg
90.93,51.97917,7.29500,Coesfeld,Billerbeck,11538,North Rhine-Westphalia
37.74,49.967,7.900,Mainz-Bingen,Bingen am Rhein,25736,Rhineland-Palatinate
13.58,49.650,7.183,Birkenfeld,Birkenfeld,7034,Rhineland-Palatinate
67.72,50.400,10.017,Rhön-Grabfeld,Bischofsheim i.d.Rhön,4783,Bavaria
46.26,51.12750,14.17972,Bautzen,Bischofswerda,10788,Saxony
289.43,52.66667,11.55000,Stendal,Bismark,8094,Saxony-Anhalt
47.54,49.967,6.533,Eifelkreis Bitburg-Prüm,Bitburg,15181,Rhineland-Palatinate
87.55,51.617,12.317,Anhalt-Bitterfeld,Bitterfeld-Wolfen,37568,Saxony-Anhalt
148.91,51.79528,10.96222,Harz,Blankenburg,19374,Saxony-Anhalt
113.53,50.86000,11.34389,Weimarer Land,Blankenhain,6502,Thuringia
79.15,48.41194,9.78500,Alb-Donau-Kreis,Blaubeuren,12434,Baden-Württemberg
55.61,48.41833,9.90806,Alb-Donau-Kreis,Blaustein,16303,Baden-Württemberg
139.9,53.300,10.733,Lüneburg,Bleckede,9561,Lower Saxony
108.20,51.41667,10.56667,Nordhausen,Bleicherode,10244,Thuringia
108.27,49.23306,7.25000,Saarpfalz,Blieskastel,20287,Saarland
